iso_code,family,name,latitude,longitude
cpb,araw1281,Ucayali-Yurúa Ashéninka,-9.49424,-73.1836
ulw,misu1242,Ulwa,12.932292,-83.581467
uma,saha1239,Umatilla,45.6391,-118.552
umo,boro1281,Umotína,-15.5929,-57.4192
unm,algi1248,Unami,40.4,-74.3
tku,toto1251,Upper Necaxa Totonac,20.236,-97.81
xup,atha1245,Upper Umpqua,43.22,-123.36
tau,atha1245,Upper Tanana,62.6867,-141.37
kuu,atha1245,Upper Kuskokwim,62.2976,-155.951
cjh,sali1255,Upper Chehalis,46.7981,-123.169
uks,sign1238,Urubú-Kaapor Sign Language,-2.54091,-46.4213
urb,tupi1275,Urubú-Kaapor,-2.46455,-46.2204
urz,tupi1275,Uru-Eu-Wau-Wau,-10.9176,-63.8086
ugy,sign1238,Uruguayan Sign Language,-34.5967,-56.4509
uru,tupi1275,Urumi,-9.08,-63.848
urp,uncl1493,Uru-Pa-In,-11.2946,-62.7226
ure,uruc1242,Uru,-16.72547,-68.97119
cuc,otom1299,Usila Chinantec,17.9184,-96.4074
usp,maya1287,Uspanteco,15.3648,-90.8893
ute,utoa1244,Ute-Southern Paiute,40.0965,-110.305
vmv,maid1262,Valley Maidu,39.8078,-121.191
cvn,otom1299,Valle Nacional Chinantec,17.7964,-96.3187
vsl,sign1238,Venezuelan Sign Language,10.3294,-66.7678
veo,chum1262,Ventureño,34.1761,-119.035
svc,indo1319,Vincentian Creole English,13.2436,-61.1963
vic,indo1319,Virgin Islands Creole English,18.04715,-63.07851
wlk,atha1245,Eel River Athabaskan,39.1513,-123.284
atr,cari1283,Waimiri-Atroari,-0.61832,-60.4259
bao,tuca1253,Waimaha,0.30416,-70.1644
waw,cari1283,Waiwai,1.50881,-59.1417
waf,unat1236,Wakoná,-9.91666,-36.5
waa,saha1239,Northeast Sahaptin,45.7206,-118.424
wam,algi1248,Wampanoag,41.705,-73.3148
qyp,algi1248,Wampano,41.2021,-73.3798
wap,araw1281,Wapishana,2.58744,-59.8021
wao,yuki1242,Wappo,38.25,-122.5
pav,chap1271,Wari',-10.69948,-64.56152
wac,chin1490,Upper Chinook,45.0278,-121.509
wsu,unat1236,Wasu,-9.74999,-36.8333
wau,araw1281,Waurá,-13.296,-53.6971
way,cari1283,Wayana,2.77537,-54.4429
oym,tupi1275,Wayampi,1.73817,-52.6887
wyr,tupi1275,Wayoró,-12.6945,-61.3064
guc,araw1281,Wayuu,11.395566,-72.199791
wdt,iroq1247,Wendat,,
ojw,algi1248,Western Ojibwa,50.5664,-102.525
tqt,toto1251,Ozumatlán Totonac,20.4574,-97.9486
apw,atha1245,Western Apache,33.8574,-110.123
ikt,eski1264,Western Canadian Inuktitut,64.3486,-96.148
nhw,utoa1244,Western Huasteca Nahuatl,21.3711,-98.7711
abe,algi1248,Western Abenaki,46.1381,-72.6511
pua,tara1323,Western Highland Purepecha,19.5392,-102.154
kjq,kere1287,Western Keres,34.9733,-107.517
knj,maya1287,Akateko,15.5932,-91.8421
gnw,tupi1275,Western Bolivian Guaraní,-20.2819,-64.1662
jmx,otom1299,Western Juxtlahuaca Mixtec,17.3003,-98.2096
ctp,otom1299,Western Highland Chatino,16.2495,-97.3244
tnb,chib1249,Western Tunebo,6.90704,-72.6507
azn,utoa1244,Western Durango Nahuatl,22.6,-104.9
wic,cadd1255,Wichita,35.0665,-98.1831
mtp,mata1289,Weenhayek,-21.988,-63.5971
wlv,mata1289,Vejoz,-24.2189,-61.9117
mzh,mata1289,Güisnay,-23.1633,-62.1757
wit,wint1258,Wintu,39.7176,-122.445
wir,tupi1275,Wiraféd,-9.30537,-59.4769
wiy,algi1248,Wiyot,39.2492,-122.952
xwc,siou1252,Woccon,35.379075,-77.985987
cwd,algi1248,Woods Cree,57.0,-99.0
noa,choc1280,Woun Meu,8.5,-78.0
wya,iroq1247,Huron-Wyandot,44.33,-77.5
zax,otom1299,Xadani Zapotec,15.8822,-96.0318
xkr,nucl1710,Xakriabá,-19.0,-47.0
ztg,otom1299,Xanaguía Zapotec,15.9748,-96.1927
xav,nucl1710,Xavánte,-14.3017,-52.4367
xer,nucl1710,Xerénte,-9.59426,-48.2629
xet,tupi1275,Xetá,-24.9408,-52.2266
too,toto1251,Xicotepec De Juárez Totonac,20.6532,-97.7463
asn,tupi1275,Xingú Asuriní,-4.13463,-52.321
